id	cat	testId	ssim
3402125	cels	q95.jpg.b	 0.9820
3402125	cels	q95.jxl.y	 0.9915
3402125	cels	q95.jxl.r	 0.9891
3402125	cels	q95.jxl.g	 0.9901
3402125	cels	q95.jxl.b	 0.9860
3402125	cels	q95p.jpg.y	 0.9916
3402125	cels	q95p.jpg.r	 0.9880
3402125	cels	q95p.jpg.g	 0.9896
3402125	cels	q95p.jpg.b	 0.9820
3402125	cels	q95p.jxl.y	 0.9915
3402125	cels	q95p.jxl.r	 0.9891
3402125	cels	q95p.jxl.g	 0.9901
3402125	cels	q95p.jxl.b	 0.9860
3402125	cels	q95.webp.y	 0.9943
3402125	cels	q95.webp.r	 0.9882
3402125	cels	q95.webp.g	 0.9930
3402125	cels	q95.webp.b	 0.9716
3060415	cshd	d1.jxl.y	 0.9935
3060415	cshd	d1.jxl.r	 0.9872
3060415	cshd	d1.jxl.g	 0.9928
3060415	cshd	d1.jxl.b	 0.9824
3060415	cshd	d2.jxl.y	 0.9888
3060415	cshd	d2.jxl.r	 0.9809
3060415	cshd	d2.jxl.g	 0.9879
3060415	cshd	d2.jxl.b	 0.9756
3060415	cshd	p56.webp.y	 0.9948
3060415	cshd	p56.webp.r	 0.9889
3060415	cshd	p56.webp.g	 0.9937
3060415	cshd	p56.webp.b	 0.9829
3060415	cshd	q90.avif.y	 0.9956
3060415	cshd	q90.avif.r	 0.9913
3060415	cshd	q90.avif.g	 0.9940
3060415	cshd	q90.avif.b	 0.9898
3060415	cshd	q95.jpg.y	 0.9951
3060415	cshd	q95.jpg.r	 0.9910
3060415	cshd	q95.jpg.g	 0.9933
3060415	cshd	q95.jpg.b	 0.9891
3060415	cshd	q95.jxl.y	 0.9948
3060415	cshd	q95.jxl.r	 0.9921
3060415	cshd	q95.jxl.g	 0.9940
3060415	cshd	q95.jxl.b	 0.9913
3060415	cshd	q95p.jpg.y	 0.9951
3060415	cshd	q95p.jpg.r	 0.9910
3060415	cshd	q95p.jpg.g	 0.9933
3060415	cshd	q95p.jpg.b	 0.9891
3060415	cshd	q95p.jxl.y	 0.9948
3060415	cshd	q95p.jxl.r	 0.9921
3060415	cshd	q95p.jxl.g	 0.9940
3060415	cshd	q95p.jxl.b	 0.9913
3060415	cshd	q95.webp.y	 0.9927
3060415	cshd	q95.webp.r	 0.9860
3060415	cshd	q95.webp.g	 0.9913
3060415	cshd	q95.webp.b	 0.9801
3213053	cshd	d1.jxl.y	 0.9980
3213053	cshd	d1.jxl.r	 0.9974
3213053	cshd	d1.jxl.g	 0.9980
3213053	cshd	d1.jxl.b	 0.9968
3213053	cshd	d2.jxl.y	 0.9971
3213053	cshd	d2.jxl.r	 0.9965
3213053	cshd	d2.jxl.g	 0.9970
3213053	cshd	d2.jxl.b	 0.9956
3213053	cshd	p56.webp.y	 0.9969
3213053	cshd	p56.webp.r	 0.9956
3213053	cshd	p56.webp.g	 0.9965
3213053	cshd	p56.webp.b	 0.9945
3213053	cshd	q90.avif.y	 0.9985
3213053	cshd	q90.avif.r	 0.9972
3213053	cshd	q90.avif.g	 0.9978
3213053	cshd	q90.avif.b	 0.9968
3213053	cshd	q95.jpg.y	 0.9980
3213053	cshd	q95.jpg.r	 0.9967
3213053	cshd	q95.jpg.g	 0.9973
3213053	cshd	q95.jpg.b	 0.9962
3213053	cshd	q95.jxl.y	 0.9979
3213053	cshd	q95.jxl.r	 0.9971
3213053	cshd	q95.jxl.g	 0.9975
3213053	cshd	q95.jxl.b	 0.9968
3213053	cshd	q95p.jpg.y	 0.9980
3213053	cshd	q95p.jpg.r	 0.9967
3213053	cshd	q95p.jpg.g	 0.9973
3213053	cshd	q95p.jpg.b	 0.9962
3213053	cshd	q95p.jxl.y	 0.9979
3213053	cshd	q95p.jxl.r	 0.9971
3213053	cshd	q95p.jxl.g	 0.9975
3213053	cshd	q95p.jxl.b	 0.9968
3213053	cshd	q95.webp.y	 0.9971
3213053	cshd	q95.webp.r	 0.9951
3213053	cshd	q95.webp.g	 0.9964
3213053	cshd	q95.webp.b	 0.9934
2877671	flat	d1.jxl.y	 0.9964
2877671	flat	d1.jxl.r	 0.9860
2877671	flat	d1.jxl.g	 0.9959
2877671	flat	d1.jxl.b	 0.9909
2877671	flat	d2.jxl.y	 0.9947
2877671	flat	d2.jxl.r	 0.9777
2877671	flat	d2.jxl.g	 0.9939
2877671	flat	d2.jxl.b	 0.9857
2877671	flat	p56.webp.y	 0.9957
2877671	flat	p56.webp.r	 0.9802
2877671	flat	p56.webp.g	 0.9945
2877671	flat	p56.webp.b	 0.9877
