id	cat	testId	ssim
3361674	flat	q95.jxl.y	 0.9971
3361674	flat	q95.jxl.r	 0.9933
3361674	flat	q95.jxl.g	 0.9975
3361674	flat	q95.jxl.b	 0.9974
3361674	flat	q95p.jpg.y	 0.9970
3361674	flat	q95p.jpg.r	 0.9928
3361674	flat	q95p.jpg.g	 0.9972
3361674	flat	q95p.jpg.b	 0.9969
3361674	flat	q95p.jxl.y	 0.9971
3361674	flat	q95p.jxl.r	 0.9933
3361674	flat	q95p.jxl.g	 0.9975
3361674	flat	q95p.jxl.b	 0.9972
3361674	flat	q95.webp.y	 0.9973
3361674	flat	q95.webp.r	 0.9908
3361674	flat	q95.webp.g	 0.9974
3361674	flat	q95.webp.b	 0.9905
